ID,Avg_Temperature,Radiation,Rain_Amount,Wind_Speed,Wind_Direction
84961,26.1,19,2.444,14.3,79
84962,26.76,21.162,2.314,12.26,57.4
84963,26.9,21.64,2.86,14.24,50.2
84964,26.16,18.34,4.498,15.56,49
84965,25.88,16.902,4.862,17.82,133.8
84966,25.74,17.964,6.37,14.32,183.4
84967,26.06,21.188,4.992,8.68,225.6
84968,26,21.226,5.642,9.02,231.4
84969,26.2,20.656,4.498,9.46,196.6
84970,25.96,19.554,4.212,11,191
84971,26.04,19.554,4.212,11,191
84972,26.54,20.61,4.264,10.04,190.6
84973,24.9,16.844,5.2,11.8,130.8
84974,24.82,16.724,3.588,11.78,72.8
84975,25.16,18.746,4.108,12.62,118.2
84976,26.46,21.348,4.706,9.82,184.2
84977,26.5,21.428,5.226,9.8,178.8
84978,26.56,21.466,3.822,12.02,163
84979,26.6,21.428,3.172,11.68,157.2
84980,26.76,21.09,3.796,10.54,223.6
84981,26.82,20.54,2.834,12.5,188.2
84982,26.74,21.26,4.732,10.02,230
84983,26.64,20.822,7.488,10.74,201.6
84984,26.56,21.468,6.318,9.84,242.2
84985,26.14,19.558,8.658,12.32,193.6
84986,25.84,18.34,11.674,15.6,190
84987,26.02,17.952,9.932,13.04,181.4
84988,26.16,17.702,7.774,13.92,142.2
84989,26.16,17.702,7.774,13.92,142.2
84990,26.02,18.868,7.696,13.92,140
84991,26.1,19,2.444,14.3,79
84992,26.72,20.542,2.47,15.94,66.6
84993,26.9,21.64,2.86,14.24,50.2
84994,25.9,18.216,5.252,16.68,66
84995,25.92,16.352,3.9,19.78,98.4
84996,26.14,18.864,2.782,13.78,137.8
84997,26.18,20.508,3.198,11.96,154
84998,26.32,20.68,2.678,10.9,144.2
84999,26.04,19.552,5.72,13.26,154
85000,25.66,18.664,2.522,13.62,109.8
85001,26.4,19.572,2.288,13.64,147.6
85002,26.48,19.344,6.058,13.86,153.2
85003,25.34,17.172,3.276,15.46,94.4
85004,24.36,16.182,4.316,16.14,80.4
85005,25.8,19.686,1.456,16.78,81
85006,26.5,20.81,5.746,13.52,154
85007,26.62,20.994,5.824,12.56,150.8
